,precision,recall,f1-score,support
Sphyraena viridensis,0.8333333333333334,0.9375,0.8823529411764706,32.0
Belone belone,0.8,0.8,0.8000000000000002,30.0
Oblada melanurus,0.958904109589041,0.8974358974358975,0.9271523178807948,78.0
Diplodus sargus,0.8548387096774194,0.7794117647058824,0.8153846153846154,68.0
Diplodus puntazzo,0.8571428571428571,0.96,0.9056603773584904,50.0
Diplodus vulgaris,0.8913043478260869,0.9534883720930233,0.9213483146067417,86.0
Diplodus annularis,0.8571428571428571,0.7659574468085106,0.8089887640449439,47.0
Diplodus cervinus,1.0,0.9130434782608695,0.9545454545454545,23.0
Sparus auratus,0.8809523809523809,0.8705882352941177,0.8757396449704142,85.0
Spondyliosoma cantharus,0.875,0.7777777777777778,0.823529411764706,18.0
Dentex dentex,0.9,0.84375,0.870967741935484,32.0
Lithognathus mormyrus,0.8666666666666667,0.9285714285714286,0.896551724137931,56.0
Sarpa salpa,0.9736842105263158,0.9736842105263158,0.9736842105263158,76.0
Boops boops,0.8125,0.8524590163934426,0.8319999999999999,61.0
Labrus bergylta,0.6923076923076923,0.6428571428571429,0.6666666666666666,28.0
Labrus merula,0.9666666666666667,0.9354838709677419,0.9508196721311476,31.0
Labrus mixtus,0.8148148148148148,0.9565217391304348,0.8800000000000001,23.0
Symphodus tinca,0.75,0.9375,0.8333333333333334,48.0
Symphodus roissali,0.9090909090909091,0.8163265306122449,0.8602150537634408,49.0
Symphodus melops,0.9523809523809523,0.6896551724137931,0.7999999999999999,29.0
Symphodus ocellatus,0.6842105263157895,0.7222222222222222,0.7027027027027027,18.0
Symphodus cinereus,0.6923076923076923,0.75,0.7199999999999999,24.0
Symphodus mediterraneus,0.9166666666666666,0.7333333333333333,0.8148148148148148,30.0
Symphodus rostratus,0.8235294117647058,0.7,0.7567567567567567,20.0
Ctenolabrus rupestris,0.8076923076923077,0.8076923076923077,0.8076923076923077,26.0
Thalassoma pavo,0.96875,0.9810126582278481,0.9748427672955976,158.0
Coris julis,0.9047619047619048,0.9421487603305785,0.9230769230769231,121.0
Xyrichtys novacula,1.0,0.9285714285714286,0.962962962962963,14.0
Sparisoma cretense,0.9027777777777778,0.8904109589041096,0.896551724137931,73.0
Siganus luridus,0.7692307692307693,0.851063829787234,0.8080808080808081,47.0
Siganus rivulatus,0.8571428571428571,0.5217391304347826,0.6486486486486486,23.0
Chromis chromis,0.9699248120300752,0.9699248120300752,0.9699248120300752,133.0
Anthias anthias,0.9583333333333334,0.9583333333333334,0.9583333333333334,24.0
Serranus scriba,0.9453125,0.9758064516129032,0.9603174603174603,124.0
Serranus cabrilla,0.9361702127659575,0.8979591836734694,0.9166666666666666,49.0
Epinephelus marginatus,0.9104477611940298,0.8243243243243243,0.8652482269503546,74.0
Epinephelus costae,0.6111111111111112,0.9166666666666666,0.7333333333333334,12.0
Apogon imberbis,0.9661016949152542,0.9827586206896551,0.9743589743589743,58.0
Sciaena umbra,0.9354838709677419,0.90625,0.9206349206349206,32.0
Phycis phycis,0.7407407407407407,0.8333333333333334,0.7843137254901961,24.0
Gadus morhua,0.9,0.8571428571428571,0.8780487804878048,21.0
Gasterosteus aculeatus,0.7931034482758621,0.9019607843137255,0.8440366972477066,51.0
Balistes capriscus,0.9615384615384616,0.9615384615384616,0.9615384615384616,26.0
Aidablennius sphynx,0.8285714285714286,0.6744186046511628,0.7435897435897435,43.0
Parablennius gattorugine,0.9508196721311475,0.8055555555555556,0.8721804511278195,72.0
Parablennius sanguinolentus,0.625,0.7142857142857143,0.6666666666666666,35.0
Parablennius rouxi,0.8918918918918919,0.8918918918918919,0.8918918918918919,37.0
Parablennius pilicornis,0.9322033898305084,0.9016393442622951,0.9166666666666666,61.0
Parablennius incognitus,0.5769230769230769,0.6521739130434783,0.6122448979591837,23.0
Parablennius zvonimiri,0.7714285714285715,0.8181818181818182,0.7941176470588236,33.0
Coryphoblennius galerita,0.46153846153846156,0.5142857142857142,0.48648648648648646,35.0
Lipophrys pholis,0.6966292134831461,0.8266666666666667,0.7560975609756098,75.0
Microlipophrys canevae,0.8717948717948718,0.918918918918919,0.8947368421052632,37.0
Salaria pavo,0.7301587301587301,0.8518518518518519,0.7863247863247863,54.0
Scorpaena maderensis,0.8947368421052632,0.918918918918919,0.9066666666666667,37.0
Scorpaena porcus,0.7777777777777778,0.875,0.823529411764706,32.0
Scorpaena notata,0.9032258064516129,0.8,0.8484848484848486,35.0
Scorpaena scrofa,0.9428571428571428,0.9705882352941176,0.9565217391304348,34.0
Taurulus bubalis,0.875,0.875,0.875,32.0
Cottus gobio,0.5384615384615384,0.5833333333333334,0.5599999999999999,24.0
Gobius paganellus,0.7346938775510204,0.5714285714285714,0.6428571428571428,63.0
Gobius cobitis,0.7096774193548387,0.7457627118644068,0.7272727272727273,59.0
Gobius niger,0.7777777777777778,0.8305084745762712,0.8032786885245902,59.0
Gobius cruentatus,0.9285714285714286,0.8666666666666667,0.896551724137931,45.0
